step,epoch,loss,eval_loss
1350,1.4845360824742269,0.629,
1350,1.4845360824742269,,0.6635244488716125
1360,1.49553264604811,0.6115,
1360,1.49553264604811,,0.6613023281097412
1370,1.506529209621993,0.6231,
1370,1.506529209621993,,0.6607440114021301
1380,1.5175257731958762,0.6436,
1380,1.5175257731958762,,0.6605668067932129
1390,1.5285223367697593,0.6128,
1390,1.5285223367697593,,0.6600617170333862
1400,1.5395189003436425,0.6169,
1400,1.5395189003436425,,0.6607877612113953
1410,1.5505154639175258,0.6207,
1410,1.5505154639175258,,0.662114679813385
1420,1.561512027491409,0.6162,
1420,1.561512027491409,,0.6617578268051147
1430,1.572508591065292,0.5929,
1430,1.572508591065292,,0.6615006327629089
1440,1.5835051546391754,0.6178,
1440,1.5835051546391754,,0.6613759398460388
1450,1.5945017182130585,0.5619,
1450,1.5945017182130585,,0.6617183685302734
1460,1.6054982817869417,0.605,
1460,1.6054982817869417,,0.6607956886291504
1470,1.6164948453608248,0.5872,
1470,1.6164948453608248,,0.6619517803192139
1480,1.627491408934708,0.5821,
1480,1.627491408934708,,0.6611124873161316
1490,1.638487972508591,0.5398,
1490,1.638487972508591,,0.6602444052696228
1500,1.6494845360824741,0.5938,
1500,1.6494845360824741,,0.6588301658630371
1510,1.6604810996563573,0.5854,
1510,1.6604810996563573,,0.6581287384033203
1520,1.6714776632302404,0.6352,
1520,1.6714776632302404,,0.6583043336868286
1530,1.6824742268041237,0.5922,
1530,1.6824742268041237,,0.6575536727905273
1540,1.6934707903780069,0.6114,
1540,1.6934707903780069,,0.6577885746955872
1550,1.7044673539518902,0.6001,
1550,1.7044673539518902,,0.6571036577224731
1560,1.7154639175257733,0.6183,
1560,1.7154639175257733,,0.6579967141151428
1570,1.7264604810996564,0.6355,
1570,1.7264604810996564,,0.6585885882377625
1580,1.7374570446735396,0.6294,
1580,1.7374570446735396,,0.6581601500511169
1590,1.7484536082474227,0.5683,
1590,1.7484536082474227,,0.6582318544387817
1600,1.7594501718213058,0.6385,
1600,1.7594501718213058,,0.657599687576294
1610,1.770446735395189,0.6079,
1610,1.770446735395189,,0.6559627056121826
1620,1.781443298969072,0.5613,
1620,1.781443298969072,,0.6555043458938599
1630,1.7924398625429552,0.5587,
1630,1.7924398625429552,,0.6548639535903931
1640,1.8034364261168385,0.6127,
1640,1.8034364261168385,,0.6547808647155762
1650,1.8144329896907216,0.6182,
1650,1.8144329896907216,,0.6549201011657715
1660,1.8254295532646048,0.6069,
1660,1.8254295532646048,,0.6555209159851074
1670,1.836426116838488,0.6421,
1670,1.836426116838488,,0.6544528007507324
1680,1.8474226804123712,0.61,
1680,1.8474226804123712,,0.6548499464988708
1690,1.8584192439862544,0.6151,
1690,1.8584192439862544,,0.6557279229164124
1700,1.8694158075601375,0.6115,
1700,1.8694158075601375,,0.6564934849739075
1710,1.8804123711340206,0.6666,
1710,1.8804123711340206,,0.6566885113716125
1720,1.8914089347079037,0.6222,
1720,1.8914089347079037,,0.6551425457000732
1730,1.9024054982817868,0.6184,
1730,1.9024054982817868,,0.6555144190788269
1740,1.91340206185567,0.6057,
1740,1.91340206185567,,0.6552338600158691
1750,1.9243986254295533,0.6003,
1750,1.9243986254295533,,0.6544287204742432
1760,1.9353951890034364,0.6186,
1760,1.9353951890034364,,0.6538509130477905
1770,1.9463917525773196,0.5787,
1770,1.9463917525773196,,0.6538183689117432
1780,1.957388316151203,0.5654,
1780,1.957388316151203,,0.6536610722541809
1790,1.968384879725086,0.5713,
1790,1.968384879725086,,0.6542819738388062
1800,1.9793814432989691,0.6209,
1800,1.9793814432989691,,0.6529973149299622
1810,1.9903780068728523,0.6128,
1810,1.9903780068728523,,0.6529878973960876
1820,2.0013745704467354,0.6239,
1820,2.0013745704467354,,0.6533316373825073
1830,2.0123711340206185,0.5921,
1830,2.0123711340206185,,0.6537770628929138
1840,2.0233676975945016,0.5915,
1840,2.0233676975945016,,0.6542812585830688
1850,2.0343642611683848,0.5973,
1850,2.0343642611683848,,0.654447615146637
1860,2.045360824742268,0.537,
1860,2.045360824742268,,0.6553326845169067
1870,2.056357388316151,0.5481,
1870,2.056357388316151,,0.6545934677124023
1880,2.0673539518900346,0.6096,
1880,2.0673539518900346,,0.653789758682251
1890,2.0783505154639177,0.5495,
1890,2.0783505154639177,,0.6539090275764465
1900,2.089347079037801,0.5378,
1900,2.089347079037801,,0.6541213393211365
1910,2.100343642611684,0.582,
1910,2.100343642611684,,0.653677761554718
1920,2.111340206185567,0.6062,
1920,2.111340206185567,,0.6538543105125427
1930,2.12233676975945,0.5784,
1930,2.12233676975945,,0.6545443534851074
1940,2.1333333333333333,0.5506,
1940,2.1333333333333333,,0.6560649275779724
1950,2.1443298969072164,0.5966,
1950,2.1443298969072164,,0.6542928218841553
1960,2.1553264604810995,0.5703,
1960,2.1553264604810995,,0.6540358066558838
1970,2.1663230240549827,0.6099,
1970,2.1663230240549827,,0.6538962721824646
1980,2.177319587628866,0.5375,
1980,2.177319587628866,,0.6541250348091125
1990,2.1883161512027494,0.5346,
1990,2.1883161512027494,,0.6545240879058838
2000,2.1993127147766325,0.5752,
2000,2.1993127147766325,,0.6539106965065002
2010,2.2103092783505156,0.527,
2010,2.2103092783505156,,0.6526207327842712
2020,2.2213058419243987,0.5324,
2020,2.2213058419243987,,0.6533131003379822
2030,2.232302405498282,0.5745,
2030,2.232302405498282,,0.6537003517150879
2040,2.243298969072165,0.5691,
2040,2.243298969072165,,0.6530544757843018
2050,2.254295532646048,0.5307,
2050,2.254295532646048,,0.6529794931411743
2060,2.265292096219931,0.5552,
2060,2.265292096219931,,0.6530630588531494
2070,2.2762886597938143,0.6248,
2070,2.2762886597938143,,0.6527368426322937
2080,2.2872852233676975,0.5601,
2080,2.2872852233676975,,0.6524492502212524
2090,2.2982817869415806,0.5839,
2090,2.2982817869415806,,0.6526416540145874
2100,2.3092783505154637,0.5753,
2100,2.3092783505154637,,0.6531510353088379
2110,2.320274914089347,0.5912,
2110,2.320274914089347,,0.6523727774620056
2120,2.3312714776632304,0.5505,
2120,2.3312714776632304,,0.6517260670661926
2130,2.3422680412371135,0.5731,
2130,2.3422680412371135,,0.651386559009552
2140,2.3532646048109966,0.5876,
2140,2.3532646048109966,,0.651607096195221
2150,2.3642611683848798,0.568,
